rnn_type,num_layers,hidden_size,dropout,bidirectional,loss,acc,f1,training_time
lstm,2,400,0.8,True,3.156071174357294,0.7637614678899083,0.7338501291989664,733.4177112579346
rnn,4,150,0.2,False,1.9153551281909,0.7614678899082569,0.7360406091370558,160.32031679153442
rnn,4,150,0.2,True,2.3823352301529406,0.75,0.7360774818401937,217.26612377166748
rnn,4,150,0.5,False,2.531552745827607,0.7327981651376146,0.6946264744429882,158.49399280548096
rnn,4,150,0.5,True,2.9648335576057434,0.7465596330275229,0.7088274044795784,215.4513545036316
rnn,4,150,0.8,False,2.3231823774320737,0.7339449541284404,0.6821917808219178,156.28059315681458
rnn,4,150,0.8,True,2.4556974981512343,0.7419724770642202,0.7169811320754716,214.5219600200653
gru,4,150,0.2,False,2.5708493388094342,0.7465596330275229,0.7080581241743725,238.13126468658447
gru,4,150,0.2,True,3.0424410743372783,0.731651376146789,0.6740947075208914,375.3941056728363
gru,4,150,0.5,False,2.5947615594728695,0.7591743119266054,0.7463768115942029,238.8694362640381
gru,4,150,0.5,True,2.9505580485440857,0.7534403669724771,0.7152317880794702,376.13347721099854
gru,4,150,0.8,False,2.9363148020767897,0.7477064220183486,0.717948717948718,238.3455147743225
gru,4,150,0.8,True,2.5542811048878287,0.7568807339449541,0.7343358395989975,375.70678973197937
lstm,4,150,0.2,False,2.7570245638488666,0.7591743119266054,0.7348484848484849,247.47629690170288
lstm,4,150,0.2,True,2.81222016972924,0.7706422018348624,0.7493734335839599,397.32858419418335
lstm,4,150,0.5,False,2.5600697195953086,0.7706422018348624,0.7641509433962265,247.77599382400513
lstm,4,150,0.5,True,2.8324492051846653,0.7408256880733946,0.6887052341597796,396.64625453948975
lstm,4,150,0.8,False,2.8020860558016074,0.7454128440366973,0.7153846153846154,255.56414103507996
lstm,4,150,0.8,True,2.9215558234395798,0.7717889908256881,0.7464968152866241,398.43949937820435
rnn,4,200,0.2,False,2.593468497040963,0.7580275229357798,0.7234600262123198,170.33817982673645
rnn,4,200,0.2,True,2.4803705710385526,0.7419724770642202,0.6963562753036437,242.416273355484
rnn,4,200,0.5,False,2.8316971712878773,0.7213302752293578,0.6543385490753911,166.99715375900269
rnn,4,200,0.5,True,2.3388315779822215,0.7419724770642202,0.694708276797829,239.4294514656067
rnn,4,200,0.8,False,1.9082789250782557,0.7373853211009175,0.7029831387808041,165.62064933776855
rnn,4,200,0.8,True,2.419868446882544,0.7614678899082569,0.7529691211401425,238.7528817653656
gru,4,200,0.2,False,2.3571208039527067,0.7419724770642202,0.7104247104247104,259.9401080608368
gru,4,200,0.2,True,2.4172981805256444,0.7649082568807339,0.7361647361647362,438.7856104373932
gru,4,200,0.5,False,2.6139198541350197,0.7327981651376146,0.687248322147651,260.8029282093048
gru,4,200,0.5,True,2.9470263140793316,0.7454128440366973,0.6899441340782123,439.0654101371765
gru,4,200,0.8,False,2.8156595803596116,0.7660550458715596,0.7542168674698795,260.36193108558655
gru,4,200,0.8,True,2.868244883749867,0.7488532110091743,0.7210191082802547,438.7002635002136
lstm,4,200,0.2,False,3.0761170286149877,0.7511467889908257,0.722860791826309,277.49530029296875
lstm,4,200,0.2,True,3.1860649596367563,0.7614678899082569,0.7419354838709677,499.77669286727905
lstm,4,200,0.5,False,2.8964088091826334,0.7396788990825688,0.6919945725915875,278.95905113220215
lstm,4,200,0.5,True,2.7348416410364798,0.7614678899082569,0.7380352644836272,499.45358300209045
lstm,4,200,0.8,False,2.71058524404985,0.7591743119266054,0.7368421052631579,279.42970633506775
lstm,4,200,0.8,True,3.106348554363123,0.7591743119266054,0.7300771208226221,499.38949370384216
rnn,4,400,0.2,False,2.0594710333222923,0.7591743119266054,0.7494033412887828,234.30976700782776
rnn,4,400,0.2,True,3.202810594013759,0.7511467889908257,0.7163398692810458,390.87617230415344
rnn,4,400,0.5,False,2.472170747859179,0.7672018348623854,0.7446540880503144,224.47600960731506
rnn,4,400,0.5,True,1.4888573247922718,0.7568807339449541,0.7343358395989975,378.6239984035492
rnn,4,400,0.8,False,0.7534263134002686,0.569954128440367,0.3194192377495463,225.5903480052948
rnn,4,400,0.8,True,0.708470056099551,0.6811926605504587,0.6051136363636364,377.74909114837646
gru,4,400,0.2,False,3.129827784640164,0.7522935779816514,0.713527851458886,517.1786217689514
gru,4,400,0.2,True,3.10684155353059,0.7557339449541285,0.7272727272727273,973.5344619750977
gru,4,400,0.5,False,3.3073743347610716,0.7568807339449541,0.7275064267352185,500.14335012435913
gru,4,400,0.5,True,3.4855529470460334,0.7557339449541285,0.7171314741035857,974.9210126399994
