rnn_type,lr,num_layers,hidden_size,dropout,optimizer,loss,acc,f1,training_time
rnn,0.001,2,150,0.2,adam,0.695942719067846,0.5091743119266054,0.0,149.4175455570221
rnn,0.001,2,150,0.2,rmsprop,0.693622316632952,0.5091743119266054,0.0,116.10488796234132
rnn,0.001,2,150,0.2,sgd,0.6941721120050975,0.5091743119266054,0.0,75.93090915679932
rnn,0.001,2,150,0.5,adam,0.6962547983442035,0.5091743119266054,0.0,148.48981165885925
rnn,0.001,2,150,0.5,rmsprop,0.6927417239972523,0.5091743119266054,0.0,113.756418466568
rnn,0.001,2,150,0.5,sgd,0.6936933717557362,0.5091743119266054,0.0,77.46838617324829
rnn,0.001,2,150,0.8,adam,0.6961162920509066,0.5091743119266054,0.0,157.12162899971008
rnn,0.001,2,150,0.8,rmsprop,0.695829227566719,0.5091743119266054,0.0,108.88131403923036
rnn,0.001,2,150,0.8,sgd,0.695190395627703,0.5091743119266054,0.0,83.05114722251892
rnn,0.001,2,200,0.2,adam,0.6938522394214358,0.5091743119266054,0.0,171.78626012802124
rnn,0.001,2,200,0.2,rmsprop,0.6951267761843545,0.5091743119266054,0.0,157.35134077072144
rnn,0.001,2,200,0.2,sgd,0.6935726957661765,0.5091743119266054,0.0,90.09385395050047
rnn,0.001,2,200,0.5,adam,0.6962507218122482,0.5091743119266054,0.0,160.7709765434265
rnn,0.001,2,200,0.5,rmsprop,0.6932367767606463,0.5091743119266054,0.0,113.1547122001648
rnn,0.001,2,200,0.5,sgd,0.6938237526587078,0.5091743119266054,0.0,77.73520350456238
rnn,0.001,2,200,0.8,adam,0.6930118160588401,0.5091743119266054,0.0,157.76912426948547
rnn,0.001,2,200,0.8,rmsprop,0.6985330964837756,0.5091743119266054,0.0,113.97775459289552
rnn,0.001,2,200,0.8,sgd,0.6938463428190776,0.5091743119266054,0.0,78.59782433509827
rnn,0.001,2,400,0.2,adam,0.7232280650309154,0.5091743119266054,0.0,199.14201664924624
rnn,0.001,2,400,0.2,rmsprop,0.7100221514701843,0.5091743119266054,0.0,271.70609951019287
rnn,0.001,2,400,0.2,sgd,0.693985851747649,0.5091743119266054,0.0,109.40699982643127
rnn,0.001,2,400,0.5,adam,0.7050059522901263,0.5091743119266054,0.0,210.56023478508
rnn,0.001,2,400,0.5,rmsprop,0.704312631062099,0.5091743119266054,0.0,242.00824522972107
rnn,0.001,2,400,0.5,sgd,0.6933504662343434,0.5091743119266054,0.0,122.21654105186462
rnn,0.001,2,400,0.8,adam,0.7171538919210434,0.5091743119266054,0.0,191.6640102863312
rnn,0.001,2,400,0.8,rmsprop,0.6981834790536335,0.5091743119266054,0.0,133.56889081001282
rnn,0.001,2,400,0.8,sgd,0.6940824793917793,0.5091743119266054,0.0,98.1745982170105
rnn,0.001,3,150,0.2,adam,0.6944337274347033,0.5091743119266054,0.0,153.08204793930054
rnn,0.001,3,150,0.2,rmsprop,0.707352780870029,0.5091743119266054,0.0,113.79234457015993
rnn,0.001,3,150,0.2,sgd,0.6938517200095313,0.5091743119266054,0.0,79.45104789733887
rnn,0.001,3,150,0.5,adam,0.6918470412492752,0.5091743119266054,0.0,150.64405059814453
rnn,0.001,3,150,0.5,rmsprop,0.6945793926715851,0.5538990825688074,0.4967658473479948,113.36122584342957
rnn,0.001,3,150,0.5,sgd,0.6943130663463047,0.5091743119266054,0.0,79.42148160934448
rnn,0.001,3,150,0.8,adam,0.696183409009661,0.5091743119266054,0.0,150.09598207473755
rnn,0.001,3,150,0.8,rmsprop,0.6942239616598401,0.5091743119266054,0.0,113.500159740448
rnn,0.001,3,150,0.8,sgd,0.6937936736004693,0.5091743119266054,0.0,79.32193994522095
rnn,0.001,3,200,0.2,adam,0.6946108915976116,0.5091743119266054,0.0,164.34395265579224
rnn,0.001,3,200,0.2,rmsprop,0.6950871795415878,0.5091743119266054,0.0,123.14519453048706
rnn,0.001,3,200,0.2,sgd,0.6941239301647458,0.5091743119266054,0.0,85.8231406211853
rnn,0.001,3,200,0.5,adam,0.7047786989382335,0.5091743119266054,0.0,157.81226801872253
rnn,0.001,3,200,0.5,rmsprop,0.7183414357049125,0.5298165137614679,0.4005847953216374,121.57483959197998
rnn,0.001,3,200,0.5,sgd,0.6936988362244197,0.5091743119266054,0.0,85.42526364326477
rnn,0.001,3,200,0.8,adam,0.6910317518881389,0.5172018348623854,0.0665188470066518,157.27532386779785
rnn,0.001,3,200,0.8,rmsprop,0.7180860808917454,0.5091743119266054,0.0,119.98063683509828
rnn,0.001,3,200,0.8,sgd,0.6939427256584167,0.5091743119266054,0.0,85.54354929924011
rnn,0.001,3,400,0.2,adam,0.720207114304815,0.5194954128440367,0.216822429906542,241.1302671432495
rnn,0.001,3,400,0.2,rmsprop,0.6975013911724091,0.5091743119266054,0.0,311.3933339118957
rnn,0.001,3,400,0.2,sgd,0.6937239574534553,0.5091743119266054,0.0,123.58632683753969
rnn,0.001,3,400,0.5,adam,0.6930868923664093,0.5091743119266054,0.0,259.09773111343384
rnn,0.001,3,400,0.5,rmsprop,0.6957881131342479,0.5091743119266054,0.0,374.8251602649689
rnn,0.001,3,400,0.5,sgd,0.6941077560186386,0.5091743119266054,0.0,124.04236602783205
rnn,0.001,3,400,0.8,adam,0.7082689851522446,0.5091743119266054,0.0,200.69388675689697
rnn,0.001,3,400,0.8,rmsprop,0.6949879250356129,0.5091743119266054,0.0,161.47420978546145
rnn,0.001,3,400,0.8,sgd,0.6936391762324742,0.5091743119266054,0.0,123.546489238739
rnn,0.001,4,150,0.2,adam,0.6945797481707164,0.5091743119266054,0.0,170.08437871932983
